weapon_code,weapon_description,weapon_type
101,REVOLVER,Firearm
102,HAND GUN,Firearm
103,RIFLE,Firearm
104,SHOTGUN,Firearm
105,SAWED OFF RIFLE/SHOTGUN,Firearm
106,UNKNOWN FIREARM,Firearm
107,OTHER FIREARM,Firearm
108,AUTOMATIC WEAPON/SUB-MACHINE GUN,Firearm
109,SEMI-AUTOMATIC PISTOL,Firearm
110,SEMI-AUTOMATIC RIFLE,Firearm
111,STARTER PISTOL/REVOLVER,Firearm
112,TOY GUN,Firearm
113,SIMULATED GUN,Firearm
114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,Firearm
115,ASSAULT WEAPON/UZI/AK47/ETC,Firearm
116,ANTIQUE FIREARM,Firearm
117,UNK TYPE SEMIAUTOMATIC ASSAULT RIFLE,Firearm
118,UZI SEMIAUTOMATIC ASSAULT RIFLE,Firearm
119,MAC-10 SEMIAUTOMATIC ASSAULT WEAPON,Firearm
120,MAC-11 SEMIAUTOMATIC ASSAULT WEAPON,Firearm
121,HECKLER & KOCH 91 SEMIAUTOMATIC ASSAULT RIFLE,Firearm
122,HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE,Firearm
123,M1-1 SEMIAUTOMATIC ASSAULT RIFLE,Firearm
124,M-14 SEMIAUTOMATIC ASSAULT RIFLE,Firearm
125,RELIC FIREARM,Firearm
200,KNIFE WITH BLADE 6INCHES OR LESS,Blade/Cutting
201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Blade/Cutting
202,BOWIE KNIFE,Blade/Cutting
203,DIRK/DAGGER,Blade/Cutting
204,FOLDING KNIFE,Blade/Cutting
205,KITCHEN KNIFE,Blade/Cutting
206,SWITCH BLADE,Blade/Cutting
207,OTHER KNIFE,Blade/Cutting
208,RAZOR,Blade/Cutting
209,STRAIGHT RAZOR,Blade/Cutting
210,RAZOR BLADE,Blade/Cutting
211,AXE,Blade/Cutting
212,BOTTLE,Blade/Cutting
213,CLEAVER,Blade/Cutting
214,ICE PICK,Blade/Cutting
215,MACHETE,Blade/Cutting
216,SCISSORS,Blade/Cutting
217,SWORD,Blade/Cutting
218,OTHER CUTTING INSTRUMENT,Blade/Cutting
219,SCREWDRIVER,Blade/Cutting
220,SYRINGE,Blade/Cutting
221,GLASS,Blade/Cutting
223,UNKNOWN TYPE CUTTING INSTRUMENT,Blade/Cutting
300,BLACKJACK,Blunt/Physical Object
301,BELT FLAILING INSTRUMENT/CHAIN,Blunt/Physical Object
302,BLUNT INSTRUMENT,Blunt/Physical Object
303,BRASS KNUCKLES,Blunt/Physical Object
304,CLUB/BAT,Blunt/Physical Object
305,FIXED OBJECT,Blunt/Physical Object
306,ROCK/THROWN OBJECT,Blunt/Physical Object
307,VEHICLE,Blunt/Physical Object
308,STICK,Blunt/Physical Object
309,BOARD,Blunt/Physical Object
310,CONCRETE BLOCK/BRICK,Blunt/Physical Object
311,HAMMER,Blunt/Physical Object
312,PIPE/METAL PIPE,Blunt/Physical Object
400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Physical Force
500,UNKNOWN WEAPON/OTHER WEAPON,Other/Unknown
501,BOMB THREAT,Other/Unknown
502,BOW AND ARROW,Other/Unknown
503,CAUSTIC CHEMICAL/POISON,Other/Unknown
504,DEMAND NOTE,Other/Unknown
505,EXPLOXIVE DEVICE,Other/Unknown
506,FIRE,Other/Unknown
507,LIQUOR/DRUGS,Other/Unknown
508,MARTIAL ARTS WEAPONS,Other/Unknown
509,ROPE/LIGATURE,Other/Unknown
510,SCALDING LIQUID,Other/Unknown
511,VERBAL THREAT,Other/Unknown
512,MACE/PEPPER SPRAY,Other/Unknown
513,STUN GUN,Other/Unknown
514,TIRE IRON,Other/Unknown
515,PHYSICAL PRESENCE,Other/Unknown
516,DOG/ANIMAL (SIC ANIMAL ON),Other/Unknown
